"CustomerKey","CName","CAddress","CAddress2","CCity","CState","CZip","CCountry","CPhone","CFax","CShipVia","CTerms","CStateTaxRate","CLocalTaxRate","CDateAdded"
"AGLE   ","A Glass Enterprise            ","212 S Tower                   ","                              ","Centralia        ","WA","98531          ","USA","1 360-736-1141      ","13607364527         ","Bestway","1/10 Net 30",0.065,0.021,2004-11-23
"A1MWM  ","A-1 Mobile Welding And Mech   ","389 Raubuck Rd                ","                              ","Winlock          ","WA","98596          ","USA","1 360-262-0216      ","12068272224         ","Bestway","Cash",0.065,0.021,1990-11-23
"ABIMAN ","Abitz Manufacturing           ","W 181 Fredson Rd              ","                              ","Shelton          ","WA","98584          ","USA","360-426-1928        ","15032268128         ","Will Call","1/10 Net 30",0.065,0.021,1976-10-27
"AGNLUM ","Agnew Lumber Company          ","PO Box 579                    ","                              ","Centralia        ","WA","98531          ","USA","360-736-8211        ","13607487576         ","Deliver","2/10 Net 30",0.065,0.021,2001-07-10
"ALASON ","Alason Inc                    ","321 Maurin Rd                 ","                              ","Chehalis         ","WA","98532          ","USA","1 360-748-1284      ","3607044491             ","Deliver","2/10 Net 30",0.065,0.021,1995-04-23
"ALBMIC ","Albers Mill Construction LLC  ","PO Box 280                    ","                              ","Puyallup         ","WA","98371          ","USA","1 253-845-9544      ","                    ","Bestway","2/10 Net 30",0.065,0.021,1974-01-09
"ALPBOL ","Alpine Bolt                   ","PO Box 538                    ","                              ","Lewistown        ","MT","59457          ","USA","1 406-538-2016      ","14065382017         ","Bestway","2/10 Net 30",,,1973-12-21
"ASSELE ","Associated Electric           ","1207 E 112th St               ","                              ","Tacoma           ","WA","98445          ","USA","1 253-536-0300      ","12535360193         ","USF","2/10 Net 30",0.065,0.019,1992-02-10
"AUTEXP ","Automotive Experts            ","116 10th St SE                ","                              ","Puyallup         ","WA","98372          ","USA","1 253-845-4802      ","12537704231         ","UPS","1/10 Net 30",0.065,0.019,1977-03-16
"AHLUA  ","AH Lundberg & Associates      ","PO Box 597                    ","                              ","Bellevue         ","WA","98009          ","USA","1 206-827-2250      ","12068272224         ","Deliver","1/10 Net 30",0.065,0.019,1992-01-19
